track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time
70, Car,269.22,28.505521,37.980734,23.732609,49.0623,0.0197,-0.1316,0.0
71, Car,351.58,48.309288,37.980823,23.732517,48.2707,-0.0257,-0.1885,0.0
72, Car,343.14,45.084071,37.98086,23.732416,44.3941,-0.0475,-0.108,0.0
73, Car,227.1,27.072003,37.98103,23.732357,34.0682,0.0211,-0.1474,0.0
74, Motorcycle,326.95,47.846863,37.980973,23.732313,60.2997,0.019,0.0017,0.0
75, Motorcycle,316.71,43.517081,37.981071,23.732268,45.4056,0.0149,-0.075,0.0
76, Motorcycle,256.24,55.570387,37.981533,23.731902,55.9531,0.2256,-0.3103,0.0
77, Bus,288.48,10.684546,37.981312,23.732124,28.9393,0.0014,-0.0661,0.0
78, Car,286.04,51.48679,37.981276,23.732042,69.9197,-0.0173,0.048,0.0
79, Car,274.65,42.253131,37.981368,23.73198,53.9151,0.0197,-0.0947,0.0
80, Car,268.97,48.903813,37.981431,23.731973,55.6864,0.0115,-0.12,0.0
81, Bus,236.0,9.115985,37.981707,23.731808,19.8034,-0.0289,0.0535,0.0
82, Car,243.27,46.58292,37.981603,23.731798,51.4028,0.0321,0.042,0.0
83, Motorcycle,112.84,27.081388,37.981895,23.731657,24.9082,0.2878,0.4306,0.0
84, Car,103.5,24.83947,37.981968,23.731613,14.8833,0.523,1.6403,0.0
85, Bus,220.12,37.029687,37.981778,23.731641,41.7069,0.0361,0.0198,0.0
86, Car,169.33,41.75228,37.982159,23.731343,47.6097,0.0006,-0.0317,0.0
87, Car,145.94,47.761831,37.982307,23.731143,52.2627,-0.0113,0.0252,0.0
88, Car,140.6,37.773292,37.98237,23.731133,44.5698,0.0258,-0.0298,0.0
89, Medium Vehicle,112.24,24.34028,37.982601,23.73098,31.5131,0.0257,0.0143,0.0
90, Car,110.41,38.22021,37.98259,23.73094,40.1372,0.0241,-0.0039,0.0
91, Car,97.35,39.824241,37.982668,23.730827,36.5757,-0.2458,-0.0052,0.0
92, Car,90.12,24.211386,37.982758,23.730836,24.6964,0.058,-0.0549,0.0
93, Car,74.29,5.571596,37.982891,23.73076,1.5253,-0.0157,-0.0029,0.0
94, Car,53.78,6.204985,37.982942,23.730713,0.0014,0.0058,0.0,0.0
95, Heavy Vehicle,108.3,3.807283,37.979968,23.731407,0.0,0.0,0.0,0.0
96, Heavy Vehicle,133.85,4.486523,37.979846,23.731157,19.8084,0.0978,-0.016,0.0
97, Motorcycle,78.08,40.153446,37.982825,23.730705,33.8421,-0.1648,-0.0788,0.0
98, Motorcycle,70.77,45.493385,37.982886,23.730664,46.9649,-0.0024,0.0378,0.0
99, Car,70.08,42.046817,37.982888,23.730686,42.271,0.0022,-0.1602,0.0
100, Motorcycle,40.85,2.673589,37.979862,23.731432,0.0,0.0,0.0,0.0
101, Car,68.6,22.050286,37.982918,23.730697,8.4099,-0.0392,-0.0161,0.0
102, Motorcycle,271.68,8.956352,37.981115,23.731251,21.4885,0.1213,-0.0414,0.0
103, Motorcycle,82.81,9.033342,37.982866,23.730786,2.951,0.0551,-0.002,0.0
104, Car,61.98,22.314405,37.982976,23.730652,8.9338,-0.0238,0.0372,0.0
105, Car,219.75,9.285415,37.981187,23.732466,0.0,0.0,0.0,0.0
106, Motorcycle,226.48,2.613219,37.981196,23.732446,0.0,0.0,0.0,0.0
107, Motorcycle,411.24,4.023028,37.981443,23.732941,31.8363,-0.1109,0.2093,0.0
108, Motorcycle,298.55,3.056874,37.981532,23.733141,2.7809,-0.1624,-0.0153,0.0
109, Car,48.37,25.605599,37.983072,23.730568,16.9098,-0.0631,0.2026,0.0
110, Bus,32.17,25.173456,37.983166,23.730413,22.2091,-0.0378,0.0466,0.0
111, Motorcycle,39.97,44.966214,37.983115,23.730492,43.86,-0.0413,-0.1177,0.0
112, Car,34.25,34.25009,37.983179,23.730468,29.0895,-0.0952,0.1499,0.0
113, Bus,15.71,25.710281,37.983334,23.730399,24.8786,-0.0329,-0.059,0.0
114, Car,17.44,34.877004,37.983296,23.730381,33.4462,-0.0667,-0.0565,0.0
115, Car,16.87,33.730073,37.983292,23.730339,31.8173,-0.0804,0.2844,0.0
116, Motorcycle,7.56,34.036072,37.983351,23.730255,35.5812,0.5238,1.8539,0.0
117, Motorcycle,261.61,6.147459,37.982167,23.730198,0.0,0.0,0.0,0.0
118, Taxi,336.05,4.259756,37.981174,23.73249,0.0,0.0,0.0,0.0
119, Taxi,326.77,10.247279,37.981218,23.73248,0.0,0.0,0.0,0.0
120, Taxi,55.23,0.693775,37.983064,23.730676,0.0,0.0,0.0,0.0
121, Taxi,165.52,13.921825,37.980017,23.733302,0.0,0.0,0.0,0.0
122, Taxi,267.12,4.760493,37.980645,23.732762,0.0,0.0,0.0,0.0
123, Taxi,343.95,10.528981,37.980747,23.732675,0.0,0.0,0.0,0.0
124, Taxi,48.17,0.475388,37.983129,23.730624,0.0,0.0,0.0,0.0
125, Bus,67.22,0.659332,37.982977,23.730747,0.0,0.0,0.0,0.0
126, Motorcycle,28.11,1.591106,37.981691,23.729972,0.0,0.0,0.0,0.0
127, Car,3.87,23.232885,37.980694,23.730444,24.8924,-0.0,-0.0,0.0
128, Motorcycle,238.49,45.667851,37.981113,23.730625,39.0044,-0.1848,0.168,0.0
129, Motorcycle,58.59,23.437502,37.98104,23.730645,26.7054,0.4357,0.1808,0.0
130, Motorcycle,202.99,1.565503,37.981246,23.732275,0.0,0.0,0.0,0.0
131, Medium Vehicle,283.69,1.819177,37.981241,23.73155,1.7909,0.0266,0.0004,0.0
132, Motorcycle,64.08,0.534014,37.98276,23.732041,0.0,0.0,0.0,0.0
133, Car,189.25,1.058261,37.981743,23.729691,1.354,0.0201,-0.0013,0.0
134, Motorcycle,4.1,36.934812,37.981079,23.73364,41.0387,0.0,0.0,0.0
135, Car,187.24,4.212992,37.980475,23.731125,0.0,0.0,0.0,0.0
136, Motorcycle,1.6,28.737709,37.983421,23.73026,35.9221,-0.0,-0.0,0.0
137, Car,15.61,0.089744,37.983372,23.730411,0.0,0.0,0.0,0.0
138, Medium Vehicle,15.2,0.18586,37.98076,23.730509,0.0,0.0,0.0,0.0
139, Car,2.71,0.03704,37.980703,23.730399,0.0,0.0,0.0,0.0
140, Taxi,55.47,2.08014,37.983001,23.730682,3.1998,-0.0704,0.0449,0.0
141, Taxi,130.88,38.621272,37.982447,23.731078,44.6037,0.0415,0.0685,0.0
142, Taxi,421.41,41.450439,37.982471,23.729456,40.0258,-0.0127,-0.0458,0.0
143, Taxi,139.2,12.04608,37.982405,23.731182,38.2106,0.0089,-0.005,0.0
144, Taxi,163.97,32.081459,37.982216,23.731336,34.7194,-0.0143,-0.0059,0.0
145, Taxi,179.49,12.055173,37.982114,23.73143,30.846,-0.0017,-0.0077,0.0
146, Taxi,166.19,23.18999,37.981498,23.731998,22.8855,0.0262,-0.0258,0.0
147, Taxi,454.44,33.387778,37.980041,23.733142,45.9263,-0.0235,-0.2271,0.0
148, Taxi,407.08,33.767211,37.982367,23.729591,30.7046,0.0496,-0.0288,0.0
149, Motorcycle,472.6,55.96628,37.979887,23.733281,49.4005,-0.0235,-0.2743,0.2
150, Motorcycle,392.58,26.766728,37.979921,23.733348,40.4419,-0.091,-0.1482,0.8
151, Car,133.47,4.8048,37.979831,23.731129,19.7811,-0.0142,0.1843,1.4
152, Taxi,376.9,32.306131,37.979902,23.733311,48.8594,0.0563,-0.0582,1.4
153, Car,473.39,47.60381,37.979872,23.733243,51.2007,-0.0025,-0.2545,1.6
154, Taxi,171.76,33.244393,37.979926,23.733329,31.9541,-0.0531,-0.1454,1.6
155, Motorcycle,473.83,46.3534,37.982869,23.729189,32.8369,0.2517,-0.8812,1.8
156, Bus,478.02,11.503084,37.982845,23.729129,17.7335,-0.0257,-0.2781,2.0
157, Car,473.03,43.441246,37.979889,23.733271,52.2356,0.0272,-0.2524,2.0
158, Motorcycle,474.06,49.040568,37.979916,23.733314,58.9635,0.0625,-0.0348,2.2
159, Motorcycle,30.65,27.581955,37.982874,23.729194,31.8805,1.6857,-2.324,2.4
160, Motorcycle,470.25,63.167394,37.98288,23.729195,36.7554,7.3817,-5.2317,2.8
161, Car,474.18,36.165943,37.979885,23.733281,51.1033,0.0345,0.2297,3.0
162, Car,132.48,4.896756,37.979815,23.731128,19.1282,0.0326,0.109,3.0
163, Car,375.54,30.72586,37.979909,23.733302,48.6717,0.0384,0.1324,3.4
164, Car,173.06,35.398688,37.97992,23.733335,37.5679,0.0345,0.0112,3.4
165, Motorcycle,471.22,57.310804,37.979877,23.733221,64.4187,0.0625,0.0136,3.8
